Year,Unemployment rate (%),Vacancy rate (%)
1963,0.0572625305709386,0.0274
1963.08333333333,0.0594706856389099,0.0274
1963.16666666667,0.0570124469708637,0.0277
1963.25,0.0565574570763072,0.0272
1963.33333333333,0.0587064261053569,0.0266
1963.41666666667,0.0555245301985313,0.0268
1963.5,0.0562982934015232,0.0275
1963.58333333333,0.0540216755356198,0.0272
1963.66666666667,0.0548585213015208,0.027
1963.75,0.0551597238555084,0.0279
1963.83333333333,0.0573200033140932,0.0274
1963.91666666667,0.0550645536654292,0.0288
1964,0.0556830117751119,0.0288
1964.08333333333,0.0540979321161757,0.0283
1964.16666666667,0.0543231609203306,0.0287
1964.25,0.0534705352512487,0.0298
1964.33333333333,0.0512841474214865,0.0298
1964.41666666667,0.0522236827691971,0.0309
1964.5,0.0494199186379388,0.0318
1964.58333333333,0.0499876911294073,0.0312
1964.66666666667,0.0506481102469641,0.0316
1964.75,0.0508266492060894,0.0316
1964.83333333333,0.0484540021286467,0.0331
1964.91666666667,0.0496971346899884,0.0329
1965,0.0485530590330166,0.0333
1965.08333333333,0.0505029990386829,0.0346
1965.16666666667,0.0474651448971589,0.0349
1965.25,0.0484318585978337,0.0353
1965.33333333333,0.0460881476109902,0.0366
1965.41666666667,0.0455168521206257,0.037
1965.5,0.0441540375329383,0.037
1965.58333333333,0.043609949608663,0.0383
1965.66666666667,0.0431666263992913,0.0397
1965.75,0.0419973810096475,0.0409
1965.83333333333,0.0410845354760218,0.0436
1965.91666666667,0.0403632828625837,0.0444
1966,0.0397414412257601,0.0447
1966.08333333333,0.0376230754862983,0.0458
1966.16666666667,0.0384548784548785,0.0484
1966.25,0.037537497677135,0.0464
1966.33333333333,0.0391002955717258,0.0468
1966.41666666667,0.0379658149034331,0.0471
1966.5,0.0379740149994719,0.0471
1966.58333333333,0.0381348131394156,0.0464
1966.66666666667,0.036788682023772,0.0455
1966.75,0.0367196419900524,0.0455
1966.83333333333,0.0361571596397337,0.0453
1966.91666666667,0.0379953288709698,0.0447
1967,0.0387270188807265,0.0451
1967.08333333333,0.0380941179545484,0.0447
1967.16666666667,0.0378498060999895,0.0436
1967.25,0.0377066048425961,0.0438
1967.33333333333,0.0381514334466544,0.0434
1967.41666666667,0.0387213666364695,0.0431
1967.5,0.0380047505938242,0.0422
1967.58333333333,0.037896335186329,0.0433
1967.66666666667,0.0380147021025035,0.0427
1967.75,0.0401948998644397,0.0434
1967.83333333333,0.0392116739778235,0.0431
1967.91666666667,0.0384502681836134,0.0433
1968,0.0370981463817062,0.0447
1968.08333333333,0.0383612424900933,0.0438
1968.16666666667,0.0367639542015948,0.0447
1968.25,0.034610962054427,0.0455
1968.33333333333,0.0347508465762806,0.0453
1968.41666666667,0.0371334681496461,0.0451
1968.5,0.0365075345067747,0.0464
1968.58333333333,0.0351220007359379,0.0473
1968.66666666667,0.0340612239722032,0.0483
1968.75,0.0340755008680446,0.0507
1968.83333333333,0.0342764079839412,0.0505
1968.91666666667,0.0337893107483986,0.0495
1969,0.0341787910415855,0.0516
1969.08333333333,0.0336420100226196,0.0512
1969.16666666667,0.0338665567751845,0.0516
1969.25,0.0343543304144194,0.052
1969.33333333333,0.0338595943837754,0.0521
1969.41666666667,0.0348964013086151,0.0499
1969.5,0.0354831924975565,0.0495
1969.58333333333,0.0352131778166843,0.0484
1969.66666666667,0.0373969737975151,0.0512
1969.75,0.0374137973347731,0.0503
1969.83333333333,0.0350872882292959,0.0492
1969.91666666667,0.0353327452709987,0.0473
1970,0.0390456325246094,0.0451
1970.08333333333,0.042032355053499,0.0446
1970.16666666667,0.0440616742224054,0.042
1970.25,0.0458979535097368,0.0407
1970.33333333333,0.0475128208236849,0.0383
1970.41666666667,0.0493550264293681,0.0375
1970.5,0.0503612742910218,0.0361
1970.58333333333,0.0513513513513514,0.0357
1970.66666666667,0.0537165175880609,0.0353
1970.75,0.0551299293914213,0.0327
1970.83333333333,0.0586249820462489,0.0325
1970.91666666667,0.0606669057009681,0.0325
1971,0.0594633273703041,0.0312
1971.08333333333,0.0586462208293961,0.0322
1971.16666666667,0.0596709542327251,0.0322
1971.25,0.0590736902294332,0.032
1971.33333333333,0.0593807571165389,0.0324
1971.41666666667,0.059123599264091,0.0338
1971.5,0.0596988380365189,0.0331
1971.58333333333,0.0606332597167928,0.0333
1971.66666666667,0.0595059659392666,0.0329
1971.75,0.0583702516731077,0.0333
1971.83333333333,0.06039223946266,0.0338
1971.91666666667,0.060192700729927,0.0342
1972,0.0583753983577194,0.0357
1972.08333333333,0.0572783485982612,0.0364
1972.16666666667,0.0581681310688019,0.037
1972.25,0.0572540235989563,0.0373
1972.33333333333,0.0566991901761338,0.0379
1972.41666666667,0.0565823046686435,0.0383
1972.5,0.0563785961006621,0.039
1972.58333333333,0.056434749820035,0.0403
1972.66666666667,0.0554856279751007,0.0409
1972.75,0.0557200169160256,0.0427
1972.83333333333,0.0525390446616129,0.0434
1972.91666666667,0.0516584605937937,0.047
1973,0.0494473464629031,0.0484
1973.08333333333,0.0503825087139559,0.0479
1973.16666666667,0.0494563626950003,0.0481
1973.25,0.0500909928329102,0.0471
1973.33333333333,0.0486530226912573,0.0477
1973.41666666667,0.0487224728637155,0.0477
1973.5,0.0480447301459756,0.0484
1973.58333333333,0.0480957222178775,0.0473
1973.66666666667,0.0484204902157216,0.0468
1973.75,0.0459775216074381,0.0473
1973.83333333333,0.0484589267604392,0.0468
1973.91666666667,0.0493893717680713,0.0447
1974,0.0509216109825766,0.0446
1974.08333333333,0.0517133956386293,0.0434
1974.16666666667,0.0506708363859031,0.0436
1974.25,0.0505877069024067,0.0451
1974.33333333333,0.0513668719158042,0.0444
1974.41666666667,0.0536312970784169,0.0431
1974.5,0.0549060859757949,0.0414
1974.58333333333,0.0545519721048458,0.0405
1974.66666666667,0.0587860046708762,0.0386
1974.75,0.0596964914935472,0.0359
1974.83333333333,0.0661880430330078,0.0331
1974.91666666667,0.0715240353524467,0.0303
1975,0.0805450562666438,0.0285
1975.08333333333,0.0810554453738036,0.0279
1975.16666666667,0.0856330166908174,0.027
1975.25,0.0879024400689515,0.027
1975.33333333333,0.0898236121170806,0.0268
1975.41666666667,0.0878439754207855,0.0288
1975.5,0.0864381361610704,0.0292
1975.58333333333,0.0841953229540579,0.0288
1975.66666666667,0.0841064945542557,0.0296
1975.75,0.0837726882153882,0.0296
1975.83333333333,0.0826949602122016,0.0307
1975.91666666667,0.0820260780222225,0.0307
1976,0.0793603977500158,0.0312
1976.08333333333,0.0771174129981684,0.0329
1976.16666666667,0.0759334138528593,0.0331
1976.25,0.0765567229962609,0.0327
1976.33333333333,0.0735860277316974,0.0335
1976.41666666667,0.0763623090160088,0.0336
1976.5,0.0775498793783585,0.0331
1976.58333333333,0.0777126554408162,0.0331
1976.66666666667,0.0764347042556938,0.0329
1976.75,0.0768323957643944,0.0333
1976.83333333333,0.0783515330988957,0.0338
1976.91666666667,0.0775054443850927,0.0353
1977,0.0748909554769155,0.0364
1977.08333333333,0.0761159687068569,0.0362
1977.16666666667,0.0744738317280742,0.0372
1977.25,0.0717888741991254,0.0381
1977.33333333333,0.0700451021132114,0.039
1977.41666666667,0.0719929762949956,0.0392
1977.5,0.0690404699078989,0.0403
1977.58333333333,0.0696918463055774,0.041
1977.66666666667,0.0678813107699114,0.0409
1977.75,0.0677553473926765,0.0427
1977.83333333333,0.0677597041043589,0.0438
1977.91666666667,0.0635479794210427,0.0451
1978,0.0643284129549037,0.0453
1978.08333333333,0.062655572855202,0.0457
1978.16666666667,0.0626854746171804,0.047
1978.25,0.0608423415440959,0.0495
1978.33333333333,0.060129936405747,0.049
1978.41666666667,0.0588838635941819,0.0488
1978.5,0.061611929804002,0.0488
1978.58333333333,0.0593107081191287,0.0495
1978.66666666667,0.0595846101464079,0.0501
1978.75,0.0576930539386884,0.0516
1978.83333333333,0.0586798246461057,0.051
1978.91666666667,0.0599947981388897,0.0512
1979,0.0587082080013839,0.0507
1979.08333333333,0.0590706397963675,0.0494
1979.16666666667,0.0584095841818929,0.0497
1979.25,0.0582594171178436,0.0516
1979.33333333333,0.0560616678346181,0.0512
1979.41666666667,0.0569487184388081,0.0503
1979.5,0.0571036742157292,0.0497
1979.58333333333,0.0601354951663241,0.0503
1979.66666666667,0.0586563062636217,0.0514
1979.75,0.0595648060548723,0.0521
1979.83333333333,0.0589536158469739,0.0488
1979.91666666667,0.059524929887632,0.0483
1980,0.0627146637638182,0.047
1980.08333333333,0.0628133874429459,0.0458
1980.16666666667,0.063217526916067,0.0453
1980.25,0.0690302183111144,0.0399
1980.33333333333,0.0746663674026691,0.0366
1980.41666666667,0.0758381719423113,0.0372
1980.5,0.0780429082018309,0.0372
1980.58333333333,0.0773166518836656,0.0373
1980.66666666667,0.0748940222973351,0.039
1980.75,0.0753037568083423,0.039
1980.83333333333,0.074585378551242,0.0407
1980.91666666667,0.0718943289365825,0.0392
1981,0.0747134948993761,0.0381
1981.08333333333,0.0743796308272205,0.0386
1981.16666666667,0.0735309019557267,0.0385
1981.25,0.0722423686022493,0.0383
1981.33333333333,0.0748384025196389,0.0377
1981.41666666667,0.0747075537842725,0.0383
1981.5,0.072432661483474,0.0379
1981.58333333333,0.0739112439641297,0.0375
1981.66666666667,0.075996823462057,0.0357
1981.75,0.0793036395656002,0.0335
1981.83333333333,0.0826559009850232,0.0333
1981.91666666667,0.0850870427501102,0.0318
1982,0.0861406741284639,0.0316
1982.08333333333,0.0886568554906958,0.0303
1982.16666666667,0.0903100386065147,0.0294
1982.25,0.0932799125842287,0.0281
1982.33333333333,0.0935709047450906,0.0277
1982.41666666667,0.0957295082711821,0.0263
1982.5,0.0983215819905385,0.025
1982.58333333333,0.0984581139041208,0.0242
1982.66666666667,0.101308694827539,0.0229
1982.75,0.104104962797082,0.0229
1982.83333333333,0.107501125619091,0.0229
1982.91666666667,0.108486447071109,0.0238
1983,0.104196214824518,0.0242
1983.08333333333,0.104353092177812,0.0242
1983.16666666667,0.103158599112011,0.025
1983.25,0.101671057855416,0.0255
1983.33333333333,0.10067150438644,0.0277
1983.41666666667,0.100519311041393,0.0275
1983.5,0.0943841941372275,0.0292
1983.58333333333,0.0946529924887063,0.0296
1983.66666666667,0.0915599565441949,0.0301
1983.75,0.0883351500098279,0.0331
1983.83333333333,0.0846401967423459,0.0331
1983.91666666667,0.0830699653689674,0.0344
1984,0.0802787655179175,0.0353
1984.08333333333,0.0780624250765884,0.0368
1984.16666666667,0.0775953084382458,0.0368
1984.25,0.0774726343525084,0.0383
1984.33333333333,0.0744045262166847,0.0386
1984.41666666667,0.0722739133872796,0.0394
1984.5,0.0749043624749939,0.0399
1984.58333333333,0.0749371052585282,0.0386
